#                | pole IGS08 (deg/Myr) |  pole NNR (deg/Myr)  |       Covariance matrix IGS08 (1*10e-20 Rad^2/yr^2)
#plate          ID  lat     lon     rate   lat     lon     rate      xx        xy       xz         yy        yz       zz
Africa         AF  49.91  -80.64   0.267  49.66  -78.08   0.285  8.40e-02 -1.44e-03  2.52e-01  1.96e-02 -2.66e-03  2.78e-02
Amur           AM  61.85 -106.77   0.271  61.64 -101.29   0.287  5.33e+00 -7.10e+00  1.60e+01  1.03e+01  1.40e+01  2.01e+01
Antarctica     AN  59.16 -127.49   0.220  60.08 -120.14   0.234  2.84e-02  9.77e-03  8.52e-02  4.01e-02 -7.11e-02  2.56e-01
Arabia         AR  51.36  -18.47   0.465  51.12  -19.87   0.484  3.36e+00  4.02e+00  1.01e+01  4.91e+00  3.05e+00  1.95e+00
AegeanSea      AS  44.80   64.58   0.247  47.78   59.86   0.253  7.18e+01  3.29e+01  2.15e+02  1.51e+01  2.70e+01  4.84e+01
Australia      AU  32.36   38.00   0.630  33.31   36.38   0.639  9.39e-02 -9.64e-02  2.82e-01  1.30e-01 -7.74e-02  6.53e-02
BajaCalifornia BC -62.53  105.38   0.659 -63.04  104.02   0.640  6.25e+00  1.42e+01  1.88e+01  3.37e+01 -1.87e+01  1.06e+01
Bering         BG -44.08  -54.23   0.331 -40.62  -53.84   0.333  8.59e+01  1.44e+01  2.58e+02  3.56e+00 -2.78e+01  3.15e+02
Burma          BU  -4.73  -76.35   2.331  -4.38  -76.17   2.343     --        --        --        --        --        --  
Caribbean      CA  36.86  -99.48   0.274  37.84  -96.49   0.290  1.30e+00 -2.80e+00  3.90e+00  7.70e+00 -1.79e+00  7.58e-01
Caroline       CL -76.96   36.90   0.565 -76.41   30.22   0.552     --        --        --        --        --        --  
Cocos          CO  26.69 -124.84   1.160  27.21 -124.02   1.169     --        --        --        --        --        --  
Capricorn      CP  41.48   26.09   0.610  42.13   24.28   0.622     --        --        --        --        --        --  
Danakil        DA  21.53   36.42   2.491  21.80   36.05   2.497  2.11e+02  1.86e+02  6.32e+02  1.65e+02  6.27e+01  2.41e+01
Easter         EA  25.06   67.62  11.331  25.14   67.55  11.331     --        --        --        --        --        --  
Eurasia        EU  55.47  -99.88   0.254  55.38  -95.41   0.271  3.68e-02  9.12e-03  1.11e-01  1.98e-02  2.02e-02  1.09e-01
Galapagos      GP   2.69   81.38   5.482   2.83   81.26   5.473     --        --        --        --        --        --  
Gonave         GV  22.97  -86.10   0.460  23.89  -84.86   0.476  2.77e+01 -1.25e+02  8.30e+01  5.69e+02 -1.93e+02  6.58e+01
India          IN  51.01   -6.26   0.506  50.95   -8.00   0.524  7.62e+00  3.50e+01  2.29e+01  1.66e+02  4.58e+01  1.29e+01
JuandeFuca     JF -38.17   60.51   0.989 -37.71   59.44   0.977     --        --        --        --        --        --  
JuanFernandez  JZ  34.30   70.80  22.369  34.33   70.76  22.370     --        --        --        --        --        --  
Lwandle        LW  52.96  -61.96   0.254  52.20  -60.68   0.273     --        --        --        --        --        --  
Mariana        MA  10.78  142.75   2.177  11.20  142.82   2.165  3.54e+03 -2.41e+03  1.06e+04  1.64e+03  8.08e+02  3.98e+02
NorthAmerica   NA  -1.40  -86.22   0.207   2.19  -83.75   0.219  9.54e-03 -2.01e-03  2.86e-02  3.80e-02 -3.54e-02  5.21e-02
NorthBismarck  NB -30.38  135.26   1.221 -30.20  135.30   1.201  4.69e+02 -2.94e+02  1.41e+03  1.85e+02 -1.27e+01  1.26e+00
Niuafo`ou      NI  -3.74 -174.25   3.305  -3.51 -174.04   3.296     --        --        --        --        --        --  
Nazca          NZ  48.83 -103.93   0.596  49.05 -102.13   0.611  1.17e-01 -4.00e-02  3.50e-01  4.90e+00  2.26e-01  1.10e-01
