# Events file v1.0
#
# DATE            : 2025-04-02 at 20:58:13 (UTC)
# SITE            : 9-character site ID
# DDDDD.DDDD      : Decimal modified Julian day
# YYYYMMDDHRMN    : Year, month, day, hour, minute
# TYPE            : Either CHANGE (equipment), EQ (earthquake)
# DESCRIPTION     : CHANGE events are taken from SPOTGINS station_file.dat
#                 : EQ events comes from the PyTRF Python librairy (P. Rebischung), based on Metivier et. al, 2014 model
#
#____SITE DDDDD.DDDD YYYYMMDDHRMN __TYPE DESCRIPTION
AJAC00FRA 54796.0000 200811260000 CHANGE Receiver & Antenna change
AJAC00FRA 54962.0000 200905110000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 55487.2500 201010180600 CHANGE Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 55643.3750 201103230900 CHANGE Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 55726.2917 201106140700 CHANGE Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 56266.3750 201212050900 CHANGE Receiver & Antenna change
AJAC00FRA 56449.5000 201306061200 CHANGE Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 56581.4167 201310161000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 56708.3750 201402200900 CHANGE Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 56859.0000 201407210000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 56919.5000 201409191200 CHANGE Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 56967.3750 201411060900 CHANGE Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 57220.3333 201507170800 CHANGE Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 57567.0000 201606280000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 57701.4167 201611091000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 57967.4167 201708021000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 58365.0000 201809040000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 58555.5625 201903131330 CHANGE Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 58869.4167 202001211000 CHANGE Receiver & Antenna change
AJAC00FRA 59563.6250 202112151500 CHANGE Receiver change
AJAC00FRA 60507.0000 202407160000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
