# Offset file v1.0
#
# SITE            : 9-character site ID
# DDDDD.DDDD      : Decimal modified Julian day
# YYYYMMDDHRMN    : Year, month, day, hour, minute
# TYPE            : Either CHANGE (equipment), EQ (earthquake) or UNK (unknown)
# DN/SN           : Estimated north offset and 1-sigma standard deviation in mm [Optional, -9999999 by default]
# DE/SE           : Estimated east offset and 1-sigma standard deviation in mm [Optional, -9999999 by default]
# DU/SU           : Estimated height offset and 1-sigma standard deviation in mm [Optional, -9999999 by default]
# DESCRIPTION     : Free format comment [Optional]
#
#____SITE DDDDD.DDDD YYYYMMDDHRMN __TYPE ______DN ______SN ______DE ______SE ______DU ______SU DESCRIPTION
AGDE00FRA 58583.5090 201904101213 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
AGDE00FRA 59516.6215 202110291455 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AGDE00FRA 59562.6535 202112141541 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AIGL00FRA 53922.5000 200607061200 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
AIGL00FRA 54360.0000 200709170000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AIGL00FRA 56177.4979 201209071157 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AIGL00FRA 57547.5312 201606081245 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver, Antenna & Radome change
AIGL00FRA 59377.5187 202106121227 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AILT00FRA 55445.4583 201009061100 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver, Antenna & Radome change
AILT00FRA 57818.6458 201703061530 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
AILT00FRA 58211.0000 201804030000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AILT00FRA 58448.7083 201811261700 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
AJAC00FRA 54796.0000 200811260000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver & Antenna change
AJAC00FRA 54962.0000 200905110000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 55487.2500 201010180600 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 55643.3750 201103230900 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 55726.2917 201106140700 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 56266.3750 201212050900 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver & Antenna change
AJAC00FRA 56449.5000 201306061200 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 56581.4167 201310161000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 56708.3750 201402200900 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 56859.0000 201407210000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 56919.5000 201409191200 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 56967.3750 201411060900 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 57220.3333 201507170800 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 57567.0000 201606280000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 57701.4167 201611091000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 57967.4167 201708021000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 58365.0000 201809040000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 58555.5625 201903131330 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AJAC00FRA 58869.4167 202001211000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver & Antenna change
AJAC00FRA 59563.6250 202112151500 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ALPE00FRA 54210.0000 200704200000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ALPE00FRA 54308.0000 200707270000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ALPE00FRA 54480.0000 200801150000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ALPE00FRA 54545.0000 200803200000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ALPE00FRA 54581.5375 200804251254 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ALPE00FRA 54886.3750 200902240900 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ALPE00FRA 57772.4979 201701191157 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver, Antenna & Radome change
ALPE00FRA 57778.4111 201701250952 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
ALPE00FRA 58462.5368 201812101253 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AMB200FRA 55473.5833 201010041400 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver, Antenna & Radome change
AMB200FRA 56811.6250 201406031500 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
AMB200FRA 58392.6771 201810011615 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ANAY00FRA 57829.5000 201703171200 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Antenna & Radome change
ANAY00FRA 58357.4167 201808271000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ANAY00FRA 58438.6250 201811161500 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ANCY00FRA 55874.0000 201111090000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ANCY00FRA 55984.0000 201202270000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
ANGE00FRA 55132.0000 200910280000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
ANGE00FRA 56342.0000 201302190000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver, Antenna & Radome change
ANGE00FRA 59144.6250 202010221500 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ARGR00FRA 55652.3750 201104010900 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Antenna & Radome change
ARGR00FRA 55652.5299 201104011243 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ARGR00FRA 57731.3750 201612090900 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ARUF00FRA 59638.6458 202202281530 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
ATST00FRA 55880.3750 201111150900 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
ATST00FRA 56308.3750 201301160900 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
ATST00FRA 58394.4479 201810031045 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
AUBU00FRA 57241.3903 201508070922 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
